age,ARPU,best_action,rewards
33,72.16080185759988,1,[0 0 0]
19,119.00966691224995,0,[10  0  0]
36,75.97938961512484,1,[ 0 25  0]
34,75.69785920927222,1,[ 0 25  0]
25,121.40060282503364,0,[10  0  0]
35,69.54200328433298,1,[0 0 0]
36,72.19191620700579,1,[0 0 0]
23,126.88415651530502,0,[10  0  0]
51,35.75865348923522,2,[  0   0 100]
52,34.591293410898146,2,[  0   0 100]
22,120.46022247980471,0,[10  0  0]
19,124.48747207529023,0,[10  0  0]
48,27.093002778804017,2,[  0   0 100]
42,28.980803096448483,2,[0 0 0]
21,130.113020557137,0,[0 0 0]
36,44.4836200544006,2,[0 0 0]
49,32.59353544552921,2,[  0   0 100]
33,78.11637012352526,1,[ 0 25  0]
23,131.37491371510006,0,[10  0  0]
36,44.57561152050521,2,[0 0 0]
27,125.31479979809347,0,[10  0  0]
56,56.33654141141593,2,[0 0 0]
20,120.00292428810823,0,[10  0  0]
37,38.8748112323057,2,[0 0 0]
34,76.93816459473673,1,[ 0 25  0]
29,94.50103067902296,2,[0 0 0]
35,77.42267370045897,1,[10 25  0]
35,73.52932299553737,1,[  0  25 100]
41,32.360233522689626,2,[ 10   0 100]
25,128.00249967490825,0,[10  0  0]
39,34.07922320268597,2,[0 0 0]
51,34.74960414197947,2,[0 0 0]
43,30.204900213263635,2,[0 0 0]
32,84.87878919600479,1,[10 25  0]
37,42.16704014573759,2,[0 0 0]
24,129.52920000806506,0,[10  0  0]
32,119.1974891257782,0,[10  0  0]
18,123.87651968211328,0,[10  0  0]
25,123.86639774233218,0,[10 25  0]
43,23.020688286438585,2,[0 0 0]
48,25.12935797930502,2,[0 0 0]
37,72.41412664672484,1,[ 0 25  0]
43,26.346360313031898,2,[ 10   0 100]
49,27.32533428101814,2,[  0   0 100]
47,30.272568079168675,2,[0 0 0]
37,44.365408894112626,2,[10  0  0]
38,68.44229348473856,1,[ 0 25  0]
51,31.379665093436962,2,[  0  25 100]
34,72.92439493862264,1,[0 0 0]
29,118.1418415722389,0,[10  0  0]
33,74.6409820813313,1,[ 0 25  0]
33,78.80102411685606,1,[ 0 25  0]
42,29.649963426269153,2,[  0   0 100]
37,73.89255537997951,1,[0 0 0]
30,116.81055805491451,0,[10  0  0]
39,33.86739950638561,2,[ 10   0 100]
34,73.89449033150716,1,[0 0 0]
34,76.02845674114405,1,[0 0 0]
23,127.22754653216509,0,[10  0  0]
30,81.7976276424155,2,[0 0 0]
36,37.371057760310315,2,[0 0 0]
33,82.04768011032161,1,[ 0 25  0]
31,70.4225268856082,1,[ 0 25  0]
32,119.98183115811337,0,[0 0 0]
28,126.39805980651775,0,[10 25  0]
47,35.042869372334536,2,[0 0 0]
34,75.1429627999267,1,[0 0 0]
38,76.0498920181282,1,[0 0 0]
35,73.06157124630649,1,[ 0 25  0]
31,75.07413473930805,1,[ 0 25  0]
34,78.67103398724782,1,[0 0 0]
35,50.7787329378164,2,[  0   0 100]
51,33.965385834508794,2,[0 0 0]
36,80.83927881704211,1,[0 0 0]
19,118.39584484711845,0,[0 0 0]
24,127.71031946314756,0,[10  0  0]
44,20.097858228992727,2,[0 0 0]
33,76.15521082073754,1,[0 0 0]
23,122.24075940049572,0,[10  0  0]
22,129.66377561506494,0,[10  0  0]
46,23.997551516735044,2,[  0   0 100]
45,24.401262405910863,2,[  0   0 100]
45,34.469511241681985,2,[0 0 0]
41,29.58552313566545,2,[10  0  0]
37,75.55030735305347,1,[0 0 0]
35,76.92097993182306,1,[0 0 0]
36,108.02068683061903,0,[10  0  0]
36,77.04775588392333,1,[ 0 25  0]
38,76.74598761576732,1,[ 0 25  0]
29,78.89986302289344,2,[0 0 0]
42,28.43936470525201,2,[0 0 0]
50,35.22326665840693,2,[0 0 0]
51,29.945847080754337,2,[  0   0 100]
25,128.21330644594303,0,[10  0  0]
38,37.21034180269345,2,[0 0 0]
44,24.366391322498238,2,[0 0 0]
47,30.06987970202397,2,[0 0 0]
31,121.00697543024141,0,[0 0 0]
45,18.741560217694104,2,[0 0 0]
43,25.304149093456477,2,[  0   0 100]
37,72.42645066222491,1,[ 0 25  0]
49,23.24501849453449,2,[  0   0 100]
33,80.83206453243645,1,[0 0 0]
34,77.76955526748738,1,[ 0 25  0]
34,81.06419566031978,1,[ 0 25  0]
49,31.797292522553846,2,[  0   0 100]
37,77.95832960009835,1,[ 0 25  0]
36,78.15758455915132,1,[ 0 25  0]
36,44.795862226912455,2,[0 0 0]
51,31.22780125565788,2,[0 0 0]
38,74.48166069481825,1,[0 0 0]
54,38.9041717825241,2,[0 0 0]
34,67.9721629633665,1,[0 0 0]
36,73.41628381795222,1,[0 0 0]
35,73.36527913759252,1,[ 0 25  0]
32,71.95700460216655,1,[ 0 25  0]
43,25.428388019686047,2,[0 0 0]
46,18.725862372874705,2,[ 0 25  0]
39,69.64478293486961,1,[10  0  0]
33,76.90551684453116,1,[ 0 25  0]
